timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666302673115,423,HTTP Request,200,OK,Starter_stress 2-1,text,true,,352,153,1,1,https://app5carlos-appservice.azurewebsites.net/api/Activities/1,423,0,343
1666302673614,253,HTTP Request,200,OK,Starter_stress 2-2,text,true,,352,153,1,1,https://app5carlos-appservice.azurewebsites.net/api/Activities/3,253,0,186
1666303699127,17213,HTTP Request,200,OK,Starter_stress 2-2,text,true,,352,153,2,3,https://app5carlos-appservice.azurewebsites.net/api/Activities/5,17212,0,399
1666303698715,17625,HTTP Request,200,OK,Starter_stress 2-1,text,true,,352,153,2,3,https://app5carlos-appservice.azurewebsites.net/api/Activities/3,17624,0,797
