timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666302673113,414,GET All Activities,200,OK,Starter_endurance 1-1,text,true,,3109,178,1,2,https://app5carlos-appservice.azurewebsites.net/api/Activities/,414,0,334
1666302703111,329,GET All Activities,200,OK,Starter_endurance 1-2,text,true,,3109,178,1,1,https://app5carlos-appservice.azurewebsites.net/api/Activities/,329,0,243
1666303698715,17625,GET All Activities,200,OK,Starter_endurance 1-1,text,true,,3079,178,1,3,https://app5carlos-appservice.azurewebsites.net/api/Activities/,17624,0,797
1666303728616,340,GET All Activities,200,OK,Starter_endurance 1-2,text,true,,3109,178,1,1,https://app5carlos-appservice.azurewebsites.net/api/Activities/,340,0,256
